Year,Day,Easting,Northing,LST_day,LST_night,NDVI,EVI,Easting_km,Northing_km
2001,0,426625,538600,0,287.52,0.7755,0.5446,426,538
2001,1,426625,538600,300.78,285.94,0.7755,0.5446,426,538
2001,2,426625,538600,296.32,280.62,0.7755,0.5446,426,538
2001,3,426625,538600,0,0,0.7755,0.5446,426,538
2001,4,426625,538600,0,0,0.7755,0.5446,426,538
2001,5,426625,538600,0,0,0.7755,0.5446,426,538
2001,6,426625,538600,0,0,0.7755,0.5446,426,538
2001,7,426625,538600,0,0,0.7755,0.5446,426,538
2001,8,426625,538600,0,0,0.7755,0.5446,426,538
2001,9,426625,538600,0,0,0.6963,0.4531,426,538
2001,10,426625,538600,0,0,0.6963,0.4531,426,538
2001,11,426625,538600,0,0,0.6963,0.4531,426,538
2001,12,426625,538600,0,281.76,0.6963,0.4531,426,538
2001,13,426625,538600,0,0,0.6963,0.4531,426,538
2001,14,426625,538600,0,0,0.6963,0.4531,426,538
2001,15,426625,538600,0,0,0.6963,0.4531,426,538
2001,16,426625,538600,0,280.94,0.6963,0.4531,426,538
2001,17,426625,538600,0,0,0.6963,0.4531,426,538
2001,18,426625,538600,0,0,0.6963,0.4531,426,538
2001,19,426625,538600,0,279.88,0.6963,0.4531,426,538
2001,20,426625,538600,0,0,0.6963,0.4531,426,538
2001,21,426625,538600,0,283.42,0.6963,0.4531,426,538
2001,22,426625,538600,0,0,0.6963,0.4531,426,538
2001,23,426625,538600,0,0,0.6963,0.4531,426,538
2001,24,426625,538600,0,286.78,0.6963,0.4531,426,538
2001,25,426625,538600,0,0,0.7522,0.5006,426,538
2001,26,426625,538600,0,0,0.7522,0.5006,426,538
2001,27,426625,538600,294.08,0,0.7522,0.5006,426,538
2001,28,426625,538600,296.18,283.24,0.7522,0.5006,426,538
2001,29,426625,538600,299.1,0,0.7522,0.5006,426,538
2001,30,426625,538600,0,0,0.7522,0.5006,426,538
2001,31,426625,538600,0,0,0.7522,0.5006,426,538
2001,32,426625,538600,296.94,0,0.7522,0.5006,426,538
2001,33,426625,538600,0,0,0.7522,0.5006,426,538
2001,34,426625,538600,0,0,0.7522,0.5006,426,538
2001,35,426625,538600,0,0,0.7522,0.5006,426,538
2001,36,426625,538600,0,0,0.7522,0.5006,426,538
2001,37,426625,538600,0,0,0.7522,0.5006,426,538
2001,38,426625,538600,292.84,282.84,0.7522,0.5006,426,538
2001,39,426625,538600,0,0,0.7522,0.5006,426,538
2001,40,426625,538600,0,0,0.7522,0.5006,426,538
2001,41,426625,538600,288.56,0,0.6013,0.4683,426,538
2001,42,426625,538600,295.46,0,0.6013,0.4683,426,538
2001,43,426625,538600,0,0,0.6013,0.4683,426,538
2001,44,426625,538600,0,283.52,0.6013,0.4683,426,538
2001,45,426625,538600,0,0,0.6013,0.4683,426,538
2001,46,426625,538600,0,0,0.6013,0.4683,426,538
2001,47,426625,538600,0,0,0.6013,0.4683,426,538
2001,48,426625,538600,288.4,0,0.6013,0.4683,426,538
2001,49,426625,538600,0,0,0.6013,0.4683,426,538
2001,50,426625,538600,293.8,0,0.6013,0.4683,426,538
2001,51,426625,538600,0,0,0.6013,0.4683,426,538
2001,52,426625,538600,0,0,0.6013,0.4683,426,538
2001,53,426625,538600,0,0,0.6013,0.4683,426,538
2001,54,426625,538600,0,284.42,0.6013,0.4683,426,538
2001,55,426625,538600,0,282.6,0.6013,0.4683,426,538
2001,56,426625,538600,293.62,0,0.6013,0.4683,426,538
2001,57,426625,538600,0,0,0.6547,0.5645,426,538
2001,58,426625,538600,0,282.2,0.6547,0.5645,426,538
2001,59,426625,538600,0,0,0.6547,0.5645,426,538
2001,60,426625,538600,0,0,0.6547,0.5645,426,538
2001,61,426625,538600,0,0,0.6547,0.5645,426,538
2001,62,426625,538600,0,0,0.6547,0.5645,426,538
2001,63,426625,538600,0,279.5,0.6547,0.5645,426,538
2001,64,426625,538600,0,0,0.6547,0.5645,426,538
2001,65,426625,538600,0,0,0.6547,0.5645,426,538
2001,66,426625,538600,0,285.76,0.6547,0.5645,426,538
2001,67,426625,538600,0,278.14,0.6547,0.5645,426,538
2001,68,426625,538600,0,0,0.6547,0.5645,426,538
2001,69,426625,538600,0,0,0.6547,0.5645,426,538
2001,70,426625,538600,0,0,0.6547,0.5645,426,538
2001,71,426625,538600,0,278.76,0.6547,0.5645,426,538
2001,72,426625,538600,0,280.36,0.6547,0.5645,426,538
2001,73,426625,538600,290.74,283.48,0.6796,0.4621,426,538
2001,74,426625,538600,0,280.12,0.6796,0.4621,426,538
2001,75,426625,538600,0,0,0.6796,0.4621,426,538
2001,76,426625,538600,0,0,0.6796,0.4621,426,538
2001,77,426625,538600,0,0,0.6796,0.4621,426,538
2001,78,426625,538600,0,0,0.6796,0.4621,426,538
2001,79,426625,538600,0,0,0.6796,0.4621,426,538
2001,80,426625,538600,0,0,0.6796,0.4621,426,538
2001,81,426625,538600,0,0,0.6796,0.4621,426,538
2001,82,426625,538600,0,0,0.6796,0.4621,426,538
2001,83,426625,538600,0,276.42,0.6796,0.4621,426,538
2001,84,426625,538600,0,0,0.6796,0.4621,426,538
2001,85,426625,538600,0,0,0.6796,0.4621,426,538
2001,86,426625,538600,0,0,0.6796,0.4621,426,538
2001,87,426625,538600,289.42,0,0.6796,0.4621,426,538
2001,88,426625,538600,0,281.68,0.6796,0.4621,426,538
2001,89,426625,538600,0,0,0.616,0.28,426,538
2001,90,426625,538600,0,284.78,0.616,0.28,426,538
2001,91,426625,538600,286.8,0,0.616,0.28,426,538
2001,92,426625,538600,289.54,0,0.616,0.28,426,538
2001,93,426625,538600,280.78,0,0.616,0.28,426,538
2001,94,426625,538600,0,0,0.616,0.28,426,538
2001,95,426625,538600,287.66,0,0.616,0.28,426,538
2001,96,426625,538600,0,0,0.616,0.28,426,538
2001,97,426625,538600,0,0,0.616,0.28,426,538
